Metric,No-RL,RL,RL - No-RL
Causal Retrieval Coverage,1.0,1.0,0.0
Causal Chain Depth,2.5,2.5,0.0
Semantic Refinement Score,1.0,0.860461413860321,-0.13953858613967896
Context Relevance,0.6903696656227112,0.6920545101165771,0.0016848444938659668
Groundedness,0.6746975183486938,0.6747123003005981,1.4781951904296875e-05
Average Answer Length,14.590909090909092,14.545454545454543,-0.04545454545454852
Hallucination Rate,0.3181818181818182,0.3181818181818182,0.0
Retrieval Success Rate,1.0,1.0,0.0
Average Direct Causes,4.454545454545454,4.454545454545454,0.0
Total Direct Causes,98.0,98.0,0.0
Total Execution Time (s),870.6713000000001,1101.8953,231.22399999999982
Average Latency (s),39.57596818181818,50.08615,10.51018181818182
Average Latency (ms),39575.97136363636,50086.15272727272,10510.181363636359
Median Latency (ms),39413.36,49663.195,10249.835
Average Throughput (QPS),0.0273772727272727,0.0209,-0.006477272727272703
Refinement Success Rate,1.0,1.0,0.0
