query,refinement_type,refined_query_text,refined_query,matched_concept,direct_causes,num_direct_causes,multi_hop_paths,num_multi_hop_paths,retrieval_success,rewritten_knowledge,final_response,is_hallucination,latency_seconds,latency_ms,query_throughput_qps,status,is_hallucination_gold
What causes heart disease?,Expand Query,"What are the underlying physiological, genetic, lifestyle, and environmental factors that contribute to the development of heart disease?",heart disease,heart disease,Genetic predisposition; Poor diet; Diabetes; High blood pressure; Smoking,5,Smoking → heart disease; High blood pressure → heart disease; Diabetes → heart disease; Genetic predisposition → Diabetes → heart disease; Family history of disease → Genetic predisposition → Diabetes → heart disease; Inherited traits from parents → Genetic predisposition → Diabetes → heart disease; Environmental factors during pregnancy → Genetic predisposition → Diabetes → heart disease; Exposure to certain toxins → Genetic predisposition → Diabetes → heart disease; Random chance and natural selection → Genetic predisposition → Diabetes → heart disease; Family history of diabetes → Diabetes → heart disease; Poor diet → Diabetes → heart disease; Lack of physical activity → Diabetes → heart disease; Insulin resistance → Diabetes → heart disease; Poor diet → heart disease; Genetic predisposition → heart disease; Family history of disease → Genetic predisposition → heart disease; Inherited traits from parents → Genetic predisposition → heart disease; Environmental factors during pregnancy → Genetic predisposition → heart disease; Exposure to certain toxins → Genetic predisposition → heart disease; Random chance and natural selection → Genetic predisposition → heart disease,20,Yes,"Heart disease is caused by genetic predisposition, which can lead to diabetes, and exposure to certain toxins. Genetic predisposition also increases the risk of heart disease due to family history of disease, inherited traits from parents, and environmental factors during pregnancy. Additionally, poor diet, high blood pressure, smoking, and lack of physical activity are all linked to an increased risk of developing diabetes, which in turn can lead to heart disease.","Heart disease is caused by genetic predisposition, which can lead to diabetes. Additionally, exposure to certain toxins increases the risk of heart disease due to family history of disease, inherited traits from parents, and environmental factors during pregnancy. Poor diet, high blood pressure, smoking, and lack of physical activity are also linked to an increased risk of developing diabetes, which in turn can lead to heart disease.",Yes,69.7633,69763.31,0.0143,SUCCESS,Yes
What leads to heart disease?,Expand Query,"What are the primary risk factors, contributing lifestyle choices, genetic predispositions, and underlying medical conditions that contribute to the development of heart disease?",heart disease,heart disease,Genetic predisposition; Poor diet; Diabetes; High blood pressure; Smoking,5,Smoking → heart disease; High blood pressure → heart disease; Diabetes → heart disease; Genetic predisposition → Diabetes → heart disease; Family history of disease → Genetic predisposition → Diabetes → heart disease; Inherited traits from parents → Genetic predisposition → Diabetes → heart disease; Environmental factors during pregnancy → Genetic predisposition → Diabetes → heart disease; Exposure to certain toxins → Genetic predisposition → Diabetes → heart disease; Random chance and natural selection → Genetic predisposition → Diabetes → heart disease; Family history of diabetes → Diabetes → heart disease; Poor diet → Diabetes → heart disease; Lack of physical activity → Diabetes → heart disease; Insulin resistance → Diabetes → heart disease; Poor diet → heart disease; Genetic predisposition → heart disease; Family history of disease → Genetic predisposition → heart disease; Inherited traits from parents → Genetic predisposition → heart disease; Environmental factors during pregnancy → Genetic predisposition → heart disease; Exposure to certain toxins → Genetic predisposition → heart disease; Random chance and natural selection → Genetic predisposition → heart disease,20,Yes,"Heart disease is caused by genetic predisposition, which can lead to diabetes, and exposure to certain toxins. Genetic predisposition also increases the risk of heart disease due to family history of disease, inherited traits from parents, and environmental factors during pregnancy. Additionally, a poor diet and lack of physical activity can contribute to diabetes, which in turn increases the risk of heart disease.",Heart disease can be led by genetic predisposition.,No,41.8868,41886.77,0.0239,SUCCESS,No
What are the causes of heart disease?,Expand Query,"What are the primary causes of heart disease, including lifestyle factors, genetic predispositions, dietary influences, and underlying medical conditions?",heart disease,heart disease,Genetic predisposition; Poor diet; Diabetes; High blood pressure; Smoking,5,Smoking → heart disease; High blood pressure → heart disease; Diabetes → heart disease; Genetic predisposition → Diabetes → heart disease; Family history of disease → Genetic predisposition → Diabetes → heart disease; Inherited traits from parents → Genetic predisposition → Diabetes → heart disease; Environmental factors during pregnancy → Genetic predisposition → Diabetes → heart disease; Exposure to certain toxins → Genetic predisposition → Diabetes → heart disease; Random chance and natural selection → Genetic predisposition → Diabetes → heart disease; Family history of diabetes → Diabetes → heart disease; Poor diet → Diabetes → heart disease; Lack of physical activity → Diabetes → heart disease; Insulin resistance → Diabetes → heart disease; Poor diet → heart disease; Genetic predisposition → heart disease; Family history of disease → Genetic predisposition → heart disease; Inherited traits from parents → Genetic predisposition → heart disease; Environmental factors during pregnancy → Genetic predisposition → heart disease; Exposure to certain toxins → Genetic predisposition → heart disease; Random chance and natural selection → Genetic predisposition → heart disease,20,Yes,"Heart disease is caused by genetic predisposition, which can lead to diabetes, and exposure to certain toxins. Genetic predisposition also increases the risk of heart disease due to family history of disease, inherited traits from parents, and environmental factors during pregnancy. Additionally, a family history of disease contributes to genetic predisposition, which in turn leads to diabetes and heart disease. Poor diet is also a cause of heart disease.","Heart disease is caused by genetic predisposition, which can lead to diabetes. Additionally, exposure to certain toxins contributes to heart disease. Poor diet is also a cause of heart disease.",No,39.0023,39002.33,0.0256,SUCCESS,No
What factors contribute to heart disease?,Expand Query,"What are the key risk factors, underlying causes, genetic predispositions, lifestyle influences, and environmental contributors to heart disease?",heart disease,heart disease,Genetic predisposition; Poor diet; Diabetes; High blood pressure; Smoking,5,Smoking → heart disease; High blood pressure → heart disease; Diabetes → heart disease; Genetic predisposition → Diabetes → heart disease; Family history of disease → Genetic predisposition → Diabetes → heart disease; Inherited traits from parents → Genetic predisposition → Diabetes → heart disease; Environmental factors during pregnancy → Genetic predisposition → Diabetes → heart disease; Exposure to certain toxins → Genetic predisposition → Diabetes → heart disease; Random chance and natural selection → Genetic predisposition → Diabetes → heart disease; Family history of diabetes → Diabetes → heart disease; Poor diet → Diabetes → heart disease; Lack of physical activity → Diabetes → heart disease; Insulin resistance → Diabetes → heart disease; Poor diet → heart disease; Genetic predisposition → heart disease; Family history of disease → Genetic predisposition → heart disease; Inherited traits from parents → Genetic predisposition → heart disease; Environmental factors during pregnancy → Genetic predisposition → heart disease; Exposure to certain toxins → Genetic predisposition → heart disease; Random chance and natural selection → Genetic predisposition → heart disease,20,Yes,"Heart disease is associated with genetic predisposition, which can lead to diabetes, and exposure to certain toxins. Additionally, family history of disease, inherited traits from parents, environmental factors during pregnancy, and random chance and natural selection also contribute to heart disease. Poor diet, high blood pressure, smoking, and lack of physical activity are risk factors for heart disease.","Heart disease is associated with factors such as genetic predisposition, family history of disease, exposure to certain toxins, poor diet, high blood pressure, smoking, and lack of physical activity. These factors contribute to an increased risk of heart disease.",Yes,50.5678,50567.77,0.0198,SUCCESS,Yes
What causes cardiovascular disease?,Expand Query,"What are the underlying physiological, genetic, environmental, lifestyle, and socioeconomic factors contributing to the development of cardiovascular disease?",heart disease,heart disease,Genetic predisposition; Poor diet; Diabetes; High blood pressure; Smoking,5,Smoking → heart disease; High blood pressure → heart disease; Diabetes → heart disease; Genetic predisposition → Diabetes → heart disease; Family history of disease → Genetic predisposition → Diabetes → heart disease; Inherited traits from parents → Genetic predisposition → Diabetes → heart disease; Environmental factors during pregnancy → Genetic predisposition → Diabetes → heart disease; Exposure to certain toxins → Genetic predisposition → Diabetes → heart disease; Random chance and natural selection → Genetic predisposition → Diabetes → heart disease; Family history of diabetes → Diabetes → heart disease; Poor diet → Diabetes → heart disease; Lack of physical activity → Diabetes → heart disease; Insulin resistance → Diabetes → heart disease; Poor diet → heart disease; Genetic predisposition → heart disease; Family history of disease → Genetic predisposition → heart disease; Inherited traits from parents → Genetic predisposition → heart disease; Environmental factors during pregnancy → Genetic predisposition → heart disease; Exposure to certain toxins → Genetic predisposition → heart disease; Random chance and natural selection → Genetic predisposition → heart disease,20,Yes,"Cardiovascular disease is caused by genetic predisposition, which can lead to diabetes, and exposure to certain toxins. Additionally, family history of disease, inherited traits from parents, environmental factors during pregnancy, and random chance and natural selection also contribute to cardiovascular disease. Poor diet, high blood pressure, smoking, and lack of physical activity are risk factors that can increase the likelihood of developing cardiovascular disease.","Cardiovascular disease is caused by a combination of genetic predisposition, exposure to certain toxins, family history of disease, inherited traits from parents, environmental factors during pregnancy, random chance, and natural selection. Additionally, risk factors such as poor diet, high blood pressure, smoking, and lack of physical activity can increase the likelihood of developing cardiovascular disease.",Yes,60.8319,60831.91,0.0164,SUCCESS,Yes
What causes lung cancer?,Expand Query,"What are the primary risk factors, causes, and contributing elements to the development of lung cancer, including environmental, genetic, and lifestyle-related influences?",lung cancer,lung cancer,Radon exposure; Smoking,2,Smoking → lung cancer; Radon exposure → lung cancer,2,Yes,"Smoking causes lung cancer, and radon exposure also causes lung cancer.",Smoking and radon exposure are causes of lung cancer.,No,26.6372,26637.15,0.0375,SUCCESS,No
What leads to lung cancer?,Expand Query,"What are the primary risk factors, causes, and contributing elements leading to lung cancer development?",lung cancer,lung cancer,Radon exposure; Smoking,2,Smoking → lung cancer; Radon exposure → lung cancer,2,Yes,"Smoking leads to lung cancer, and radon exposure also leads to lung cancer.",Smoking and radon exposure lead to lung cancer.,No,22.5492,22549.25,0.0443,SUCCESS,No
What are the causes of lung cancer?,Expand Query,"What are the primary causes of lung cancer, including environmental factors, genetic predispositions, smoking habits, occupational exposures, and other risk factors?",lung cancer,lung cancer,Radon exposure; Smoking,2,Smoking → lung cancer; Radon exposure → lung cancer,2,Yes,Lung cancer can be caused by radon exposure and smoking.,Lung cancer can be caused by radon exposure and smoking.,No,22.7983,22798.34,0.0439,SUCCESS,No
What factors contribute to lung cancer?,Expand Query,"What are the key biological, environmental, genetic, and lifestyle factors that contribute to the development of lung cancer?",lung cancer,lung cancer,Radon exposure; Smoking,2,Smoking → lung cancer; Radon exposure → lung cancer,2,Yes,"Smoking contributes to lung cancer, and smoking → lung cancer. Radon exposure also contributes to lung cancer, and radon exposure → lung cancer.",Smoking and radon exposure are factors that contribute to lung cancer.,No,24.8628,24862.82,0.0402,SUCCESS,No
What causes migraine?,Expand Query,"What are the underlying physiological, genetic, environmental, and lifestyle factors that contribute to the development of migraines?",migraine,migraine,Environmental toxins; Food sensitivities; Hormonal changes; Sleep deprivation; Stress,5,Stress → migraine; Sleep deprivation → migraine; Hormonal changes → migraine; Food sensitivities → migraine; Environmental toxins → migraine,5,Yes,"Migraine is caused by environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.","Migraine is caused by environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.",No,26.3566,26356.62,0.0379,SUCCESS,No
